,,Government Procurement Card spend November 2013,,,,,
Companies House,CH,11/19/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,350,39.15
Companies House,CH,11/19/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,351,27.45
Companies House,CH,11/19/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,352,5.94
Companies House,CH,11/21/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,353,30.56
Companies House,CH,11/21/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,354,18.81
Companies House,CH,11/21/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,355,17.45
Companies House,CH,11/21/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,356,6.19
Companies House,CH,11/26/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,357,672.86
Companies House,CH,11/26/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,358,127
Companies House,CH,11/26/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,359,53.15
Companies House,CH,11/26/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,360,50.48
Companies House,CH,11/26/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,361,21.68
Companies House,CH,11/26/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,362,10.46
Companies House,CH,11/26/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,363,7.81
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,364,136.68
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,365,132
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,366,105.85
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,367,85.24
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,368,28.18
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,369,17.39
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,370,17.25
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,BANNER BUSINESS SERVIC,371,16.46
Companies House,CH,11/28/2013,Stationery & Consumables,Procurement,CITY ELECTRICAL FA,232,417.6
Companies House,CH,11/13/2013,Stationery & Consumables,Procurement,COLOP UK LTD,221,125.52
Companies House,CH,11/6/2013,Stationery & Consumables,Procurement,GENITE,212,297.36
Companies House,CH,11/12/2013,Stationery & Consumables,Procurement,GENITE,216,111.54
Companies House,CH,11/13/2013,Stationery & Consumables,Procurement,GENITE,220,20.4
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,PAYPAL  DIRECT2PUBL,213,21.95
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,S E T OFFICE,214,636
Companies House,CH,11/7/2013,Stationery & Consumables,Procurement,S E T OFFICE,215,3658.8
Companies House,CH,11/12/2013,Stationery & Consumables,Procurement,S E T OFFICE,218,4294.8
Companies House,CH,11/4/2013,Stationery & Consumables,Procurement,XMA LTD,210,849.17
Companies House,CH,11/12/2013,Stationery & Consumables,Procurement,XMA LTD,219,27.37
Companies House,CH,11/20/2013,Stationery & Consumables,Procurement,XMA LTD,227,27.37
Companies House,CH,11/20/2013,Subscriptions,Training,ACCA,122,205
Companies House,CH,11/12/2013,Subscriptions,Training,ACCA,197,205
Companies House,CH,11/15/2013,Subscriptions,Training,ACCA,199,205
Companies House,CH,11/15/2013,Subscriptions,Training,ACCA,200,205
Companies House,CH,11/15/2013,Subscriptions,Training,ACCA,201,81
Companies House,CH,11/15/2013,Subscriptions,Training,ACCA,202,205
Companies House,CH,11/15/2013,Subscriptions,Training,ACCA,203,205
Companies House,CH,11/15/2013,Subscriptions,Training,ACCA,204,205
Companies House,CH,11/26/2013,Subscriptions,Training,CIPD MEMBERSHIP RENEWA,437,178
Companies House,CH,11/6/2013,Subscriptions,Training,THE INFORMATION AN,418,75
Companies House,CH,11/8/2013,Subscriptions,Training,WWW.AAT-ORG.UK,196,82
Companies House,CH,11/7/2013,T & S  EEC,Policy & Planning,CAFE CENTRAL,375,14.47
Companies House,CH,11/8/2013,T & S  EEC,Policy & Planning,K + K Hotel Maria Ther,376,316.58
Companies House,CH,11/5/2013,T & S Seminars,Customer Support Services,ASDA SUPERSTORE,25,7.35
Companies House,CH,11/22/2013,T & S Seminars,Customer Support Services,ASDA SUPERSTORE,36,7.33
Companies House,CH,11/20/2013,T & S Seminars,Customer Support Services,ASDA SUPERSTORE,166,5.68
Companies House,CH,11/22/2013,T & S Seminars,Customer Support Services,ASDA SUPERSTORE,495,8.5
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,ASDA SUPERSTORE 4600,164,15.81
Companies House,CH,11/13/2013,T & S Seminars,Customer Support Services,ASDA SUPERSTORE 4600,482,4.84
Companies House,CH,11/1/2013,T & S Seminars,Customer Support Services,BILLS WESTFIELD,492,47.59
Companies House,CH,11/29/2013,T & S Seminars,Customer Support Services,BP MOTO READING EAST,172,10
Companies House,CH,11/4/2013,T & S Seminars,Customer Support Services,CHIEVELEY BURGER KING,24,13.38
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,CHINA BUFFET (SCOT,161,45.96
Companies House,CH,11/11/2013,T & S Seminars,Customer Support Services,CP LIVERPOOL,384,96
Companies House,CH,11/7/2013,T & S Seminars,Customer Support Services,CP MANCHESTER,151,16
Companies House,CH,11/22/2013,T & S Seminars,Customer Support Services,CP MANCHESTER,396,16
Companies House,CH,11/5/2013,T & S Seminars,Customer Support Services,CROWNE PLAZA,379,17.4
Companies House,CH,11/6/2013,T & S Seminars,Customer Support Services,CROWNE PLAZA,380,140
Companies House,CH,11/29/2013,T & S Seminars,Customer Support Services,DP CAPPUCCINO ESPRESSO,41,11.25
Companies House,CH,11/13/2013,T & S Seminars,Customer Support Services,HOLIDAY INNS,158,52.5
Companies House,CH,11/8/2013,T & S Seminars,Customer Support Services,HOLIDAY INNS,382,97
Companies House,CH,11/22/2013,T & S Seminars,Customer Support Services,HOSPITALITY SERVIC,37,6
Companies House,CH,11/14/2013,T & S Seminars,Customer Support Services,INDIA QUAY,386,91.6
Companies House,CH,11/21/2013,T & S Seminars,Customer Support Services,JRC GLOBAL BUFFET,35,42.68
Companies House,CH,11/6/2013,T & S Seminars,Customer Support Services,M&S SIMPLY FOOD,147,6.65
Companies House,CH,11/19/2013,T & S Seminars,Customer Support Services,M&S SIMPLY FOOD,165,4.61
Companies House,CH,11/22/2013,T & S Seminars,Customer Support Services,M&S SIMPLY FOOD,394,5.5
Companies House,CH,11/22/2013,T & S Seminars,Customer Support Services,M&S SIMPLY FOOD,395,5.5
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,MARTIN MCCOLL 7304,30,4.54
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,MARTIN MCCOLL 7304,31,9
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,MARTIN MCCOLL 7304,388,4.98
Companies House,CH,11/14/2013,T & S Seminars,Customer Support Services,MCDONALDS,29,11.74
Companies House,CH,11/12/2013,T & S Seminars,Customer Support Services,MCDONALDS,479,11.96
Companies House,CH,11/15/2013,T & S Seminars,Customer Support Services,MCDONALDS,486,3.99
Companies House,CH,11/21/2013,T & S Seminars,Customer Support Services,MCDONALDS,488,4.79
Companies House,CH,11/15/2013,T & S Seminars,Customer Support Services,MCDONALDS,494,4.79
Companies House,CH,11/12/2013,T & S Seminars,Customer Support Services,MCDONALDS REST.,27,4.58
Companies House,CH,11/12/2013,T & S Seminars,Customer Support Services,MCDONALDS REST.,157,6.58
Companies House,CH,11/12/2013,T & S Seminars,Customer Support Services,MCDONALDS REST.,385,3.69
Companies House,CH,11/5/2013,T & S Seminars,Customer Support Services,MDN WELCOME B/WAITROSE,378,5.68
Companies House,CH,11/6/2013,T & S Seminars,Customer Support Services,MOTO HILTON PARK NORTH,471,3.8
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,"MOTO LANCASTER SOUTH,",33,4.15
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,"MOTO LANCASTER SOUTH,",163,4.9
Companies House,CH,11/18/2013,T & S Seminars,Customer Support Services,"MOTO LANCASTER SOUTH,",390,4.3
Companies House,CH,11/28/2013,T & S Seminars,Customer Support Services,MOTO READING EAST GREG,39,3.75
Companies House,CH,11/28/2013,T & S Seminars,Customer Support Services,MOTO READING EAST GREG,171,4.9
Companies House,CH,11/1/2013,T & S Seminars,Customer Support Services,MOTO READING EAST GREG,491,5.45
Companies House,CH,11/8/2013,T & S Seminars,Customer Support Services,NCP LIMITED,155,12.35
Companies House,CH,11/21/2013,T & S Seminars,Customer Support Services,ONE STOP 2801,34,5
Companies House,CH,11/4/2013,T & S Seminars,Customer Support Services,PARKING 1VR,146,25
Companies House,CH,11/21/2013,T & S Seminars,Customer Support Services,PEACHY KEENS,393,34.3
Companies House,CH,11/12/2013,T & S Seminars,Customer Support Services,READING N/E COSTA,480,6.08
Companies House,CH,11/15/2013,T & S Seminars,Customer Support Services,S E C C,159,6.25
Companies House,CH,11/15/2013,T & S Seminars,Customer Support Services,S E C C,387,6.3
Companies House,CH,11/1/2013,T & S Seminars,Customer Support Services,SAINSBURYS PFS (1274),143,16.07
Companies House,CH,11/8/2013,T & S Seminars,Customer Support Services,SAINSBURYS PFS (1274),154,52.95
Companies House,CH,11/1/2013,T & S Seminars,Customer Support Services,SAINSBURYS SACAT 2274,142,15.35
Companies House,CH,11/6/2013,T & S Seminars,Customer Support Services,SEVEN STARS,472,21.63
Companies House,CH,11/8/2013,T & S Seminars,Customer Support Services,SEVERN RIVER CROSSIN P,156,6.2
Companies House,CH,11/20/2013,T & S Seminars,Customer Support Services,SEVERN RIVER CROSSIN P,167,6.2
Companies House,CH,11/6/2013,T & S Seminars,Customer Support Services,SEVERN RIVER CROSSIN P,381,6.2
Companies House,CH,11/13/2013,T & S Seminars,Customer Support Services,SEVERN RIVER CROSSIN P,483,6.2
Companies House,CH,11/4/2013,T & S Seminars,Customer Support Services,SEVERN RIVER CROSSIN P,493,6.2
Companies House,CH,11/22/2013,T & S Seminars,Customer Support Services,SEVERN RIVER CROSSIN P,496,6.2
Companies House,CH,11/7/2013,T & S Seminars,Customer Support Services,SHELL BIRMINGHAM R,477,10.03
Companies House,CH,11/7/2013,T & S Seminars,Customer Support Services,SQUARE PEG,149,23.75
Companies House,CH,11/7/2013,T & S Seminars,Customer Support Services,SQUARE PEG,475,12.47
Companies House,CH,11/4/2013,T & S Seminars,Customer Support Services,STRENSHAM CONNECT MWSA,145,76.43
Companies House,CH,11/21/2013,T & S Seminars,Customer Support Services,TAKE A BREAK STRENSHAM,392,3.69
Companies House,CH,11/4/2013,T & S Seminars,Customer Support Services,TESCO PayatPump 3747,23,41.86
Companies House,CH,11/19/2013,T & S Seminars,Customer Support Services,TESCO PayatPump 3747,391,60.54
Companies House,CH,11/14/2013,T & S Seminars,Customer Support Services,TESCO PFS 3729,485,50
Companies House,CH,11/15/2013,T & S Seminars,Customer Support Services,TESCO PFS 3729,487,31
Companies House,CH,11/29/2013,T & S Seminars,Customer Support Services,TESCO STORE 5468,173,5.89
Companies House,CH,11/7/2013,T & S Seminars,Customer Support Services,TESCO STORE 6112,478,20.24
Companies House,CH,11/28/2013,T & S Seminars,Customer Support Services,THE ALBION,40,131.6
Companies House,CH,11/1/2013,T & S Seminars,Customer Support Services,VALLEY FOOD STORES,469,9.91
Companies House,CH,11/13/2013,T & S Seminars,Customer Support Services,WEST BROMPTON,481,8.8
Companies House,CH,11/20/2013,T & S Seminars,Customer Support Services,WWW.JUST EAT.CO.UK,168,28.78
Companies House,CH,11/6/2013,T & S Seminars,Customer Support Services,WWW.STREETCARSMANCHEST,148,7
Companies House,CH,11/6/2013,T & S UK Directors,Directorate,BURGER KING,399,4.09
Companies House,CH,11/6/2013,T & S UK Directors,Directorate,BURGER KING,400,7.48
Companies House,CH,11/26/2013,T & S UK Directors,Directorate,CARLUCCIOS LTD,192,70.85
Companies House,CH,11/25/2013,T & S UK Directors,Directorate,CATERLEISURE LTD,403,7.6
Companies House,CH,11/21/2013,T & S UK Directors,Directorate,GLOS AIRPORT LTD,401,25.75
Companies House,CH,11/25/2013,T & S UK Directors,Directorate,THE REGENCY HOTEL,402,183.45
Companies House,CH,11/13/2013,T & S UK External Training,Training,EXPEDIA CO UK,425,392
Companies House,CH,11/12/2013,T & S UK External Training,Training,HOLIDAY INN EXPRESS,424,69.99
Companies House,CH,11/6/2013,T & S UK External Training,Training,PREMIER INN44022890,419,66.25
Companies House,CH,11/6/2013,T & S UK External Training,Training,PREMIER INN44022890,420,66.25
Companies House,CH,11/6/2013,T & S UK External Training,Training,PREMIER INN44022890,421,66.25
Companies House,CH,11/25/2013,T & S UK External Training,Training,PREMIER INN44521895,435,291
Companies House,CH,11/15/2013,T & S UK General,Accounting,LUL TICKET MACHINE,121,20
Companies House,CH,11/15/2013,T & S UK General,Accounting,SAINSBURYS SACAT 4003,120,9.99
Companies House,CH,11/25/2013,T & S UK General,Belfast,CLAREMONT HOTEL,242,273.5
Companies House,CH,11/27/2013,T & S UK General,Belfast,PARK INN CARDIFF CENTR,244,140
Companies House,CH,11/7/2013,T & S UK General,Communications,HARBOURCITYRESTRNT,254,44.1
